"Participant","Event","E1","eBR","BR","Valence","E2","trialtype","signed_EE","abs_EE","direction","update"
57,21,77,62,33,3,56,"neutral",44,44,-1,21
57,22,25,37,51,3,25,"neutral",-26,26,1,0
57,23,50,50,37,3,37,"neutral",13,13,-1,13
57,24,50,50,43,3,34,"neutral",7,7,-1,16
57,25,75,46,39,3,27,"neutral",36,36,-1,48
57,26,24,24,35,2,65,"negative",-11,11,1,41
57,27,69,69,30,3,50,"neutral",39,39,-1,19
57,28,26,26,70,3,65,"neutral",-44,44,1,39
57,29,45,45,10,3,21,"neutral",35,35,-1,24
57,30,3,50,23,1,3,"negative",-20,20,1,0
57,31,45,44,23,3,46,"neutral",22,22,-1,-1
57,32,35,35,36,2,36,"negative",-1,1,1,1
57,33,3,56,33,3,3,"neutral",-30,30,1,0
57,34,13,13,36,3,45,"neutral",-23,23,1,32
57,35,77,60,45,3,50,"neutral",32,32,-1,27
57,36,40,3,43,5,75,"positive",-3,3,1,35
57,37,33,33,38,4,63,"positive",-5,5,1,30
57,38,66,66,33,5,42,"positive",33,33,-1,24
57,39,77,77,47,3,25,"neutral",30,30,-1,52
58,1,77,77,56,4,77,"positive",21,21,-1,0
58,2,3,60,29,3,3,"neutral",-26,26,1,0
58,3,55,35,20,3,20,"neutral",35,35,-1,35
58,4,77,77,17,3,77,"neutral",60,60,-1,0
58,5,3,30,38,2,3,"negative",-35,35,1,0
58,6,60,50,26,3,60,"neutral",34,34,-1,0
58,7,30,45,62,3,30,"neutral",-32,32,1,0
58,8,25,32,59,3,30,"neutral",-34,34,1,5
58,9,35,30,65,3,20,"neutral",-30,30,1,-15
58,10,60,60,55,2,70,"negative",5,5,-1,-10
58,11,15,30,52,1,60,"negative",-37,37,1,45
58,12,70,60,48,3,60,"neutral",22,22,-1,10
58,13,30,40,30,3,20,"neutral",0,0,0,0
58,14,30,30,55,2,30,"negative",-25,25,1,0
58,15,3,60,42,3,3,"neutral",-39,39,1,0
58,16,60,20,32,3,60,"neutral",28,28,-1,0
58,17,50,40,41,3,30,"neutral",9,9,-1,20
58,18,40,35,48,3,40,"neutral",-8,8,1,0
58,19,40,50,49,3,50,"neutral",-9,9,1,10
58,20,40,33,44,3,25,"neutral",-4,4,1,-15
58,21,25,20,33,3,30,"neutral",-8,8,1,5
58,22,30,40,51,2,40,"negative",-21,21,1,10
58,23,77,20,37,3,30,"neutral",40,40,-1,47
58,24,20,30,43,3,77,"neutral",-23,23,1,57
58,25,5,3,39,3,20,"neutral",-34,34,1,15
58,26,50,70,35,3,20,"neutral",15,15,-1,30
58,27,35,50,30,3,40,"neutral",5,5,-1,-5
58,28,30,40,70,3,60,"neutral",-40,40,1,30
58,29,35,40,10,3,20,"neutral",25,25,-1,15
58,30,20,49,23,5,20,"positive",-3,3,1,0
58,31,30,20,23,3,20,"neutral",7,7,-1,10
58,32,20,50,36,3,30,"neutral",-16,16,1,10
58,33,50,60,33,3,60,"neutral",17,17,-1,-10
58,34,36,45,36,3,40,"neutral",0,0,0,0
58,35,3,34,45,3,3,"neutral",-42,42,1,0
58,36,3,60,43,1,3,"negative",-40,40,1,0
58,37,30,70,38,3,50,"neutral",-8,8,1,20
58,38,40,55,33,3,33,"neutral",7,7,-1,7
58,39,33,60,47,3,30,"neutral",-14,14,1,-3
59,1,35,56,56,2,53,"negative",-21,21,1,18
59,2,53,65,29,5,47,"positive",24,24,-1,6
59,3,38,55,20,3,51,"neutral",18,18,-1,-13
59,4,77,77,17,5,77,"positive",60,60,-1,0
59,5,54,63,38,4,41,"positive",16,16,-1,13
59,6,44,67,26,2,17,"negative",18,18,-1,27
59,7,47,64,62,4,57,"positive",-15,15,1,10
59,8,36,34,59,4,53,"positive",-23,23,1,17
59,9,6,11,65,4,37,"positive",-59,59,1,31
59,10,41,57,55,1,59,"negative",-14,14,1,18
59,11,28,23,52,1,26,"negative",-24,24,1,-2
59,12,72,68,48,4,22,"positive",24,24,-1,50
59,13,44,57,30,2,52,"negative",14,14,-1,-8
59,14,34,51,55,3,59,"neutral",-21,21,1,25
59,15,43,39,42,3,40,"neutral",1,1,-1,3
59,16,40,44,32,4,62,"positive",8,8,-1,-22
59,17,41,26,41,3,42,"neutral",0,0,0,0
59,18,63,36,48,3,60,"neutral",15,15,-1,3
59,19,21,43,49,2,63,"negative",-28,28,1,42
59,20,54,32,44,2,36,"negative",10,10,-1,18
59,21,60,69,33,5,24,"positive",27,27,-1,36
59,22,16,32,51,2,46,"negative",-35,35,1,30
59,23,50,50,37,2,32,"negative",13,13,-1,18
59,24,45,66,43,5,68,"positive",2,2,-1,-23
59,25,48,50,39,2,35,"negative",9,9,-1,13
59,26,71,58,35,3,29,"neutral",36,36,-1,42
59,27,28,62,30,3,48,"neutral",-2,2,1,20
59,28,37,41,70,3,55,"neutral",-33,33,1,18
59,29,18,26,10,5,31,"positive",8,8,-1,-13
59,30,9,32,23,4,62,"positive",-14,14,1,53
59,31,11,24,23,3,73,"neutral",-12,12,1,62
59,32,22,29,36,1,31,"negative",-14,14,1,9
59,33,18,41,33,3,28,"neutral",-15,15,1,10
59,34,48,69,36,4,26,"positive",12,12,-1,22
59,35,27,19,45,5,47,"positive",-18,18,1,20
59,36,25,33,43,1,66,"negative",-18,18,1,41
59,37,42,73,38,4,43,"positive",4,4,-1,-1
59,38,35,49,33,3,63,"neutral",2,2,-1,-28
59,39,26,53,47,1,49,"negative",-21,21,1,23
60,1,40,30,56,3,30,"neutral",-16,16,1,-10
60,2,20,40,29,4,20,"positive",-9,9,1,0
60,3,18,30,20,4,30,"positive",-2,2,1,12
60,4,18,20,17,2,5,"negative",1,1,-1,13
60,5,50,60,38,4,50,"positive",12,12,-1,0
60,6,4,20,26,1,3,"negative",-22,22,1,-1
60,7,65,60,62,4,70,"positive",3,3,-1,-5
60,8,70,70,59,5,67,"positive",11,11,-1,3
60,9,60,20,65,3,40,"neutral",-5,5,1,-20
60,10,65,60,55,1,60,"negative",10,10,-1,5
60,11,65,60,52,4,77,"positive",13,13,-1,-12
60,12,55,50,48,3,60,"neutral",7,7,-1,-5
60,13,5,20,30,3,30,"neutral",-25,25,1,25
60,14,70,65,55,2,50,"negative",15,15,-1,20
60,15,70,30,42,4,77,"positive",28,28,-1,-7
60,16,15,30,32,3,40,"neutral",-17,17,1,25
60,17,30,35,41,3,50,"neutral",-11,11,1,20
60,18,55,60,48,3,67,"neutral",7,7,-1,-12
60,19,40,50,49,4,67,"positive",-9,9,1,27
60,20,60,60,44,3,40,"neutral",16,16,-1,20
60,21,45,40,33,3,50,"neutral",12,12,-1,-5
60,22,10,30,51,2,30,"negative",-41,41,1,20
60,23,11,20,37,3,20,"neutral",-26,26,1,9
60,24,35,40,43,3,45,"neutral",-8,8,1,10
60,25,45,40,39,3,55,"neutral",6,6,-1,-10
60,26,23,45,35,3,50,"neutral",-12,12,1,27
60,27,30,30,30,4,20,"positive",0,0,0,0
60,28,60,70,70,3,60,"neutral",-10,10,1,0
60,29,30,35,10,3,15,"neutral",20,20,-1,15
60,30,30,50,23,3,50,"neutral",7,7,-1,-20
60,31,3,18,23,3,20,"neutral",-20,20,1,17
60,32,20,20,36,2,25,"negative",-16,16,1,5
60,33,50,50,33,3,60,"neutral",17,17,-1,-10
60,34,22,20,36,3,40,"neutral",-14,14,1,18
60,35,5,60,45,2,3,"negative",-40,40,1,-2
60,36,60,60,43,3,40,"neutral",17,17,-1,20
60,37,18,30,38,5,20,"positive",-20,20,1,2
60,38,50,60,33,3,55,"neutral",17,17,-1,-5
60,39,40,40,47,3,60,"neutral",-7,7,1,20
61,1,50,49,56,5,5,"positive",-6,6,1,-45
61,2,65,65,29,3,5,"neutral",36,36,-1,60
61,3,45,40,20,4,5,"positive",25,25,-1,40
61,4,70,65,17,4,20,"positive",53,53,-1,50
61,5,40,30,38,4,3,"positive",2,2,-1,37
61,6,45,55,26,4,39,"positive",19,19,-1,6
61,7,50,45,62,5,4,"positive",-12,12,1,-46
61,8,45,60,59,5,5,"positive",-14,14,1,-40
61,9,40,35,65,3,30,"neutral",-25,25,1,-10
61,10,50,66,55,5,4,"positive",-5,5,1,-46
61,11,50,65,52,4,4,"positive",-2,2,1,-46
61,12,35,40,48,4,40,"positive",-13,13,1,5
61,13,3,40,30,3,40,"neutral",-27,27,1,37
61,14,50,70,55,4,3,"positive",-5,5,1,-47
61,15,4,65,42,4,5,"positive",-38,38,1,1
61,16,40,39,32,4,40,"positive",8,8,-1,0
61,17,45,40,41,4,36,"positive",4,4,-1,9
61,18,50,65,48,5,4,"positive",2,2,-1,46
61,19,3,50,49,4,50,"positive",-46,46,1,47
61,20,3,30,44,4,40,"positive",-41,41,1,37
61,21,39,34,33,3,50,"neutral",6,6,-1,-11
61,22,50,70,51,4,4,"positive",-1,1,1,-46
61,23,35,30,37,4,40,"positive",-2,2,1,5
61,24,30,45,43,5,30,"positive",-13,13,1,0
