"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
8,31,5,20,80,19,18,"-1",2
8,32,5,23,43,33,7,"1",16
8,33,3,10,40,15,20,"1",-10
8,34,4,88,64,80,79,"-1",9
8,35,2,17,62,17,8,"0",9
8,36,2,100,80,26,30,"-1",70
8,37,4,88,62,30,30,"-1",58
8,38,3,92,88,71,91,"-1",1
8,39,2,50,22,43,72,"-1",-22
8,40,3,1,1,21,4,"1",-3
8,41,3,100,64,17,99,"-1",1
8,42,2,5,14,13,12,"1",-7
8,43,3,0,87,81,100,"1",-100
8,44,3,2,17,19,1,"1",1
8,45,4,76,23,19,80,"-1",-4
8,46,5,100,66,45,100,"-1",0
8,47,3,0,9,20,10,"1",-10
8,48,3,20,15,18,20,"-1",0
8,49,4,20,22,11,14,"-1",6
8,50,3,66,33,38,75,"-1",-9
8,51,2,7,29,26,7,"1",0
9,1,2,80,50,26,40,"-1",40
9,2,2,40,30,20,60,"-1",-20
9,3,4,20,40,29,14,"1",6
9,4,3,90,79,78,60,"-1",30
9,5,5,60,70,56,50,"-1",10
9,6,4,80,50,29,26,"-1",54
9,7,4,100,40,45,85,"-1",15
9,8,2,70,60,75,80,"1",-10
9,9,5,25,20,29,25,"1",0
9,10,5,90,70,56,58,"-1",32
9,11,4,25,10,31,25,"1",0
9,12,2,80,80,78,80,"-1",0
9,13,5,50,60,22,30,"-1",20
9,14,2,90,60,41,80,"-1",10
9,15,2,80,40,60,60,"-1",20
9,16,2,20,50,26,56,"1",-36
9,17,2,0,20,43,20,"1",-20
9,18,2,30,10,82,55,"1",-25
9,19,2,24,70,21,25,"-1",-1
9,20,2,0,10,40,15,"1",-15
9,21,2,25,25,35,35,"1",-10
9,22,2,100,80,60,80,"-1",20
9,23,2,60,70,71,80,"1",-20
9,24,3,40,30,14,54,"-1",-14
9,25,4,45,60,14,24,"-1",21
9,26,4,100,70,29,80,"-1",20
9,27,2,32,23,45,80,"1",-48
9,28,3,40,30,20,15,"-1",25
9,29,3,74,70,66,50,"-1",24
9,30,4,25,45,48,70,"1",-45
9,31,2,80,60,19,85,"-1",-5
9,32,2,0,15,33,100,"1",-100
9,33,4,60,30,15,57,"-1",3
9,34,3,100,90,80,60,"-1",40
9,35,2,40,20,17,24,"-1",16
9,36,2,85,50,26,10,"-1",75
9,37,4,80,80,30,75,"-1",5
9,38,2,100,90,71,30,"-1",70
9,39,2,0,57,43,0,"1",0
9,40,4,75,75,21,35,"-1",40
9,41,2,80,60,17,20,"-1",60
9,42,3,80,80,13,35,"-1",45
9,43,2,10,25,81,75,"1",-65
9,44,3,10,60,19,23,"1",-13
9,45,4,10,25,19,30,"1",-20
9,46,4,100,70,45,100,"-1",0
9,47,4,60,60,20,10,"-1",50
9,48,4,10,5,18,40,"1",-30
9,49,5,9,5,11,2,"1",7
9,50,4,0,20,38,0,"1",0
9,51,4,50,50,26,24,"-1",26
10,1,2,50,30,26,50,"-1",0
10,2,2,75,60,20,25,"-1",50
10,3,4,0,25,29,10,"1",-10
10,4,2,100,85,78,100,"-1",0
10,5,5,30,40,56,20,"1",10
10,6,4,0,20,29,15,"1",-15
10,7,4,100,60,45,100,"-1",0
10,8,4,100,85,75,95,"-1",5
10,9,4,5,20,29,15,"1",-10
10,10,4,15,49,56,20,"1",-5
10,11,5,0,15,31,5,"1",-5
10,12,3,100,90,78,100,"-1",0
10,13,5,0,25,22,0,"1",0
10,14,2,25,45,41,35,"1",-10
10,15,2,100,80,60,95,"-1",5
10,16,2,5,15,26,10,"1",-5
10,17,2,100,15,43,85,"-1",15
10,18,2,75,44,82,15,"1",60
10,19,2,100,37,21,95,"-1",5
10,20,2,5,8,40,5,"1",0
10,21,4,100,65,35,100,"-1",0
10,22,2,100,85,60,85,"-1",15
10,23,2,95,90,71,100,"-1",-5
10,24,3,30,30,14,20,"-1",10
10,25,4,20,25,14,30,"-1",-10
10,26,3,100,85,29,100,"-1",0
10,27,4,100,85,45,50,"-1",50
10,28,3,30,35,20,20,"-1",10
10,29,2,99,85,66,45,"-1",54
10,30,4,100,45,48,100,"-1",0
10,31,4,0,15,19,0,"1",0
10,32,5,0,15,33,0,"1",0
10,33,3,100,40,15,30,"-1",70
10,34,3,25,29,80,65,"1",-40
10,35,4,5,30,17,25,"1",-20
10,36,2,0,70,26,5,"1",-5
10,37,4,100,85,30,75,"-1",25
10,38,2,100,95,71,95,"-1",5
10,39,3,100,70,43,95,"-1",5
10,40,4,60,45,21,60,"-1",0
10,41,3,95,90,17,85,"-1",10
10,42,2,20,20,13,15,"-1",5
10,43,3,5,2,81,60,"1",-55
10,44,3,15,20,19,15,"1",0
10,45,2,0,65,19,0,"1",0
10,46,5,100,60,45,100,"-1",0
10,47,5,0,15,20,5,"1",-5
10,48,4,50,50,18,35,"-1",15
10,49,3,0,10,11,0,"1",0
10,50,5,10,8,38,30,"1",-20
10,51,3,100,85,26,60,"-1",40
11,1,4,50,30,26,50,"-1",0
11,2,5,15,30,20,20,"1",-5
11,3,3,10,60,29,5,"1",5
11,4,3,40,60,78,40,"1",0
11,5,5,50,40,56,65,"1",-15
11,6,4,50,30,29,50,"-1",0
11,7,5,70,45,45,80,"-1",-10
11,8,4,100,90,75,100,"-1",0
11,9,4,50,30,29,60,"-1",-10
11,10,4,50,60,56,30,"1",20
11,11,5,20,30,31,30,"1",-10
11,12,3,0,80,78,5,"1",-5
11,13,5,60,10,22,10,"-1",50
11,14,2,35,45,41,30,"1",5
11,15,2,90,70,60,45,"-1",45
11,16,2,35,30,26,30,"-1",5
11,17,2,35,55,43,40,"1",-5
11,18,2,70,70,82,60,"1",10
11,19,2,100,80,21,70,"-1",30
11,20,2,80,60,40,60,"-1",20
11,21,3,85,80,35,70,"-1",15
11,22,2,40,75,60,60,"1",-20
11,23,2,60,80,71,45,"1",15
11,24,3,40,40,14,25,"-1",15
11,25,3,50,40,14,25,"-1",25
11,26,3,100,100,29,100,"-1",0
11,27,3,75,55,45,55,"-1",20
11,28,3,20,20,20,20,"0",0
11,29,2,85,95,66,60,"-1",25
11,30,4,40,20,48,25,"1",15
11,31,5,15,20,19,15,"1",0
11,32,2,5,10,33,15,"1",-10
11,33,3,10,40,15,15,"1",-5
11,34,3,80,80,80,60,"0",20
11,35,2,10,15,17,30,"1",-20
11,36,2,85,85,26,65,"-1",20
11,37,4,50,50,30,50,"-1",0
11,38,2,80,90,71,50,"-1",30
11,39,3,40,60,43,25,"1",15
11,40,5,80,55,21,70,"-1",10
11,41,2,20,70,17,10,"-1",10
11,42,3,75,60,13,40,"-1",35
11,43,4,15,20,81,20,"1",-5
11,44,3,5,10,19,10,"1",-5
11,45,5,80,70,19,30,"-1",50
11,46,5,10,70,45,5,"1",5
11,47,3,10,70,20,0,"1",10
11,48,2,5,30,18,5,"1",0
11,49,3,0,30,11,5,"1",-5
11,50,3,10,45,38,15,"1",-5
11,51,3,50,45,26,50,"-1",0
12,1,4,2,5,26,30,"1",-28
12,2,2,5,30,20,10,"1",-5
12,3,3,3,44,29,5,"1",-2
12,4,3,40,45,78,50,"1",-10
12,5,5,5,60,56,5,"1",0
12,6,5,25,40,29,40,"1",-15
12,7,2,10,45,45,10,"1",0
12,8,2,45,65,75,50,"1",-5
12,9,3,20,20,29,20,"1",0
12,10,2,15,25,56,15,"1",0
12,11,4,15,35,31,20,"1",-5
12,12,3,90,75,78,80,"-1",10
12,13,4,12,0,22,0,"1",12
12,14,2,5,15,41,5,"1",0
12,15,2,75,60,60,30,"-1",45
12,16,2,30,10,26,5,"-1",25
12,17,2,6,26,43,30,"1",-24
12,18,2,20,20,82,50,"1",-30
12,19,2,12,45,21,15,"1",-3
12,20,2,0,8,40,5,"1",-5
12,21,4,90,88,35,80,"-1",10
12,22,2,80,80,60,60,"-1",20
12,23,2,80,65,71,70,"-1",10
12,24,2,15,20,14,15,"-1",0
12,25,4,80,50,14,80,"-1",0
12,26,3,100,66,29,100,"-1",0
12,27,3,22,30,45,20,"1",2
12,28,3,20,20,20,15,"0",5
12,29,2,70,80,66,80,"-1",-10
12,30,4,100,35,48,100,"-1",0
12,31,3,40,70,19,50,"-1",-10
12,32,2,5,35,33,30,"1",-25
12,33,4,100,50,15,80,"-1",20
12,34,3,80,80,80,80,"0",0
12,35,2,10,50,17,5,"1",5
12,36,2,80,80,26,35,"-1",45
12,37,3,55,55,30,20,"-1",35
12,38,2,95,85,71,80,"-1",15
12,39,4,95,40,43,100,"-1",-5
12,40,3,5,20,21,50,"1",-45
12,41,3,30,40,17,50,"-1",-20
12,42,3,5,12,13,15,"1",-10
12,43,3,2,12,81,60,"1",-58
12,44,3,18,18,19,15,"1",3
12,45,4,60,28,19,70,"-1",-10
12,46,4,100,50,45,100,"-1",0
12,47,4,30,18,20,30,"-1",0
12,48,3,100,35,18,100,"-1",0
12,49,3,80,20,11,80,"-1",0
12,50,3,5,35,38,10,"1",-5
12,51,3,10,23,26,10,"1",0
13,1,3,0,3,26,0,"1",0
13,2,2,0,47,20,20,"1",-20
13,3,2,0,13,29,0,"1",0
13,4,5,98,56,78,50,"-1",48
13,5,5,15,16,56,44,"1",-29
13,6,2,19,19,29,10,"1",9
13,7,4,86,19,45,20,"-1",66
13,8,3,45,25,75,70,"1",-25
13,9,5,0,15,29,10,"1",-10
13,10,4,100,23,56,30,"-1",70
13,11,4,76,56,31,30,"-1",46
13,12,4,60,54,78,70,"1",-10
13,13,4,0,16,22,0,"1",0
13,14,2,99,56,41,50,"-1",49
13,15,2,99,78,60,100,"-1",-1
13,16,2,99,47,26,30,"-1",69
13,17,2,10,15,43,40,"1",-30
13,18,2,99,78,82,99,"-1",0
13,19,3,60,65,21,20,"-1",40
13,20,2,0,30,40,0,"1",0
13,21,2,80,50,35,30,"-1",50
13,22,2,99,99,60,40,"-1",59
13,23,2,89,67,71,50,"-1",39
13,24,3,30,30,14,10,"-1",20
13,25,4,1,13,14,30,"1",-29
13,26,3,99,67,29,30,"-1",69
13,27,3,99,88,45,98,"-1",1
13,28,3,50,51,20,20,"-1",30
13,29,2,99,15,66,99,"-1",0
13,30,3,0,38,48,20,"1",-20
13,31,2,20,30,19,30,"-1",-10
13,32,4,9,50,33,55,"1",-46
13,33,4,99,5,15,20,"-1",79
13,34,2,0,12,80,80,"1",-80
13,35,2,0,13,17,10,"1",-10
13,36,2,34,36,26,30,"-1",4
13,37,4,20,15,30,10,"1",10
13,38,2,99,99,71,50,"-1",49
13,39,2,50,34,43,30,"-1",20
13,40,3,87,78,21,30,"-1",57
13,41,4,100,10,17,99,"-1",1
13,42,4,99,55,13,99,"-1",0
13,43,2,0,13,81,99,"1",-99
