"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
26,48,3,80,20,18,20,"-1",60
26,49,3,10,70,11,5,"1",5
26,50,3,20,50,38,35,"1",-15
26,51,3,0,50,26,30,"1",-30
27,1,3,80,80,26,60,"-1",20
27,2,3,2,20,20,20,"1",-18
27,4,3,100,50,78,100,"-1",0
27,8,3,40,80,75,25,"1",15
27,9,3,5,20,29,5,"1",0
27,12,3,80,90,78,70,"-1",10
27,24,3,10,20,14,25,"1",-15
27,26,3,100,85,29,85,"-1",15
27,28,3,30,30,20,32,"-1",-2
27,33,3,40,60,15,85,"-1",-45
27,36,3,1,25,26,70,"1",-69
27,38,3,60,60,71,87,"1",-27
27,39,3,99,50,43,85,"-1",14
27,40,3,100,50,21,99,"-1",1
27,41,3,40,60,17,20,"-1",20
27,44,3,1,20,19,10,"1",-9
27,47,3,99,40,20,50,"-1",49
27,49,3,5,10,11,5,"1",0
27,50,3,20,10,38,20,"1",0
28,4,3,100,80,78,95,"-1",5
28,6,3,3,10,29,25,"1",-22
28,7,3,100,15,45,95,"-1",5
28,8,3,89,89,75,98,"-1",-9
28,10,3,85,80,56,95,"-1",-10
28,12,3,100,89,78,95,"-1",5
28,24,3,2,8,14,12,"1",-10
28,25,3,85,75,14,85,"-1",0
28,26,3,100,72,29,95,"-1",5
28,28,3,15,15,20,20,"1",-5
28,29,3,94,85,66,90,"-1",4
28,30,3,55,45,48,75,"-1",-20
28,31,3,91,75,19,80,"-1",11
28,33,3,25,35,15,80,"-1",-55
28,34,3,75,75,80,80,"1",-5
28,36,3,78,78,26,50,"-1",28
28,37,3,70,60,30,35,"-1",35
28,39,3,2,3,43,50,"1",-48
28,40,3,5,20,21,25,"1",-20
28,41,3,95,45,17,85,"-1",10
28,42,3,80,15,13,80,"-1",0
28,43,3,20,52,81,80,"1",-60
28,44,3,2,2,19,20,"1",-18
28,46,3,0,60,45,0,"1",0
28,47,3,100,20,20,100,"-1",0
28,48,3,100,5,18,100,"-1",0
28,49,3,60,8,11,50,"-1",10
28,50,3,0,40,38,0,"1",0
29,12,3,10,80,78,20,"1",-10
29,15,3,80,40,60,40,"-1",40
29,17,3,40,40,43,40,"1",0
29,21,3,100,90,35,70,"-1",30
29,24,3,10,10,14,20,"1",-10
29,25,3,60,40,14,10,"-1",50
29,27,3,1,1,45,80,"1",-79
29,28,3,50,50,20,10,"-1",40
29,30,3,7,10,48,5,"1",2
29,34,3,10,10,80,10,"1",0
29,40,3,80,90,21,50,"-1",30
29,44,3,100,60,19,90,"-1",10
29,49,3,10,30,11,10,"1",0
29,51,3,30,30,26,20,"-1",10
30,8,3,50,60,75,75,"1",-25
30,21,3,40,50,35,50,"-1",-10
30,24,3,55,45,14,5,"-1",50
30,25,3,20,29,14,10,"-1",10
30,27,3,25,25,45,75,"1",-50
30,28,3,30,30,20,15,"-1",15
30,30,3,15,20,48,20,"1",-5
30,31,3,10,40,19,45,"1",-35
30,33,3,40,50,15,25,"-1",15
30,34,3,60,50,80,75,"1",-15
30,35,3,25,35,17,10,"-1",15
30,41,3,60,70,17,20,"-1",40
30,42,3,80,70,13,30,"-1",50
30,43,3,50,30,81,20,"1",30
30,44,3,5,10,19,5,"1",0
30,49,3,10,15,11,10,"1",0
